Track Name,Artist,Album,Popularity,Duration (minutes)
"Adipoli (From ""Think Originals"")",Siddhu Kumar,"Adipoli (From ""Think Originals"")",57,2.879166666666667
Lajjavathiye,Jassie Gift,4 Students (Original Motion Picture Soundtrack),59,4.508283333333333
Vaa Chellam,Mani Sharma,Thoranai (Original Motion Picture Soundtrack),57,5.0911
"Hayyoda (From ""Jawan"")",Anirudh Ravichander,"Hayyoda (From ""Jawan"")",68,3.3357
Ada All Thotta Boopathi,Mani Sharma,Youth (Original Motion Picture Soundtrack),0,4.920216666666667
En Rojaa Neeye,Hesham Abdul Wahab,"En Rojaa Neeye (From ""Kushi"") (Tamil)",57,4.065783333333333
Enna Nadanthalum,Hiphop Tamizha,Meesaya Murukku (Original Motion Picture Soundtrack),67,4.0844
Hey Vetri Velaa,Mani Sharma,Padikkathavan (Original Motion Picture Soundtrack),62,4.743333333333333
Mudhal Kaadhal,Justin Prabhakaran,Adiyae (Original Motion Picture Soundtrack),28,3.8419833333333333
Vaa Senthaazhini,Justin Prabhakaran,Adiyae (Original Motion Picture Soundtrack),41,4.201383333333333
Mutta Cutie,Anthony Daasan,Adiyae (Original Motion Picture Soundtrack),15,4.484933333333333
Ullukulla Theekaadu,Romy,Adiyae (Original Motion Picture Soundtrack),24,3.525166666666667
"Ordinary Person (From ""Leo"")",Anirudh Ravichander,"Ordinary Person (From ""Leo"")",66,2.32
"Nira - From ""Takkar""",Sid Sriram,"Nira (From ""Takkar"")",68,5.079533333333333
Unnai Kaanadhu Naan,Shankar-Ehsaan-Loy,Vishwaroopam (Tamil) [Original Motion Picture Soundtrack],64,5.618883333333334
"Bae (From ""Don"")",Anirudh Ravichander,"Bae (From ""Don"")",63,4.0438
Sivantha Kangal,Chanderan,Sivantha Kangal,55,3.6279
Alwarpetyai Aaluda,Bharadwaj,Vasool Raja Mbbs (Original Motion Picture Soundtrack),54,5.364233333333333
Kambathu Ponnu,Yuvan Shankar Raja,Kambathu Ponnu,57,3.5833333333333335
Adada Adada,Siddharth,Santhosh Subramaniyam (Original Motion Picture Soundtrack),59,4.093816666666667
Yembuttu Irukkuthu Aasai,D. Imman,Saravanan Irukka Bayamaen (Original Motion Picture Soundtrack),63,4.4972
Vaaya Veera,Shakthisree Gopalan,Kanchana 2,0,4.631016666666667
"Kadhal Aasai (From ""Anjaan"")",Yuvan Shankar Raja,My Playlist: Yuvanshankar Raja,53,5.0625
"Yedho Ondru Ennai (From ""Paiya"")",Yuvan Shankar Raja,"Voice of Yuvanshankar Raja, Vol. 2",55,3.558666666666667
"Adiyae Azhagae - From ""Oru Naal Koothu""",Justin Prabhakaran,"Adiyae Azhagae (From ""Oru Naal Koothu"")",65,4.8234
"Mayilaanjiye - From ""Sivappu Manjal Pachai""",Siddhu Kumar,"Mayilaanjiye (From ""Sivappu Manjal Pachai"")",56,3.5935166666666665
Oxygen,Hiphop Tamizha,Kavan (Original Motion Picture Soundtrack),68,4.568566666666666
"En Fuse Pochu (From ""Arrambam"")",Yuvan Shankar Raja,Take 10: Yuvanshankar Raja,37,4.714216666666666
"Adada Mazhaida (From ""Paiya"")",Yuvan Shankar Raja,My Playlist: Yuvanshankar Raja,47,4.452
"Azhagho Azhaghu (From ""Samar"")",Yuvan Shankar Raja,All About Love: Yuvanshankar Raja,42,4.844883333333334
Uyir Uruvaatha,Sam C.S.,Iravukku Aayiram Kangal (Original Motion Picture Soundtrack),57,4.220683333333334
"Po Indru Neeyaga (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),69,3.7221
Open the Tasmac,Anirudh Ravichander,Maan Karate Special (Original Motion Picture Soundtrack),58,4.101266666666667
Andha Kanna Paathaakaa,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),61,3.2416666666666667
Kaadhal Vaithu,Yuvan Shankar Raja,Deepavali (Original Motion Picture Soundtrack),67,5.15
Enge Ponaalum - Prayer Song,Siddharth Vipin,Idharkuthaane Aasaipattai Balakumara (Original Motion Picture Soundtrack),45,4.5945833333333335
Ei Suzhali,Santhosh Narayanan,Kodi (Original Motion Picture Soundtrack),65,3.6243166666666666
Indru Netru Naalai,Hiphop Tamizha,Indru Netru Naalai (Original Motion Picture Soundtrack),63,3.0869333333333335
Kaatrodu Pattam Pola,N.R. Raghunanthan,Ayothi,37,5.066666666666666
Ennavaley,Dhilip Varman,Saran Z Ennavaley,57,4.0658
"Thaalaattu Paadum Saami - From ""Diary""",Ron Ethan Yohann,"Thaalaattu Paadum Saami (From ""Diary"")",11,4.383333333333334
Azhage Bhramanidam,Deva,Devathayai Kanden (Original Motion Picture Soundtrack),45,4.514716666666667
Konji Pesida Venaam,Nivas K Prasanna,Sethupathi (Original Motion Picture Soundtrack),66,3.779733333333333
Kadavul Thandha Kavithai,Ranjin Raj,Yugi (Original Motion Picture Soundtrack),47,4.9207
Unakku Thaan,Santhosh Narayanan,Chithha (Original Motion Picture Soundtrack),64,3.6035666666666666
"Sandakari Neethan (From ""Sangathamizhan"")",Vivek - Mervin,"Sandakari Neethan (From ""Sangathamizhan"")",56,4.166666666666667
Anthimaalai Neram,Sid Sriram,Monster (Original Motion Picture Soundtrack),43,3.9632
Boomi Enna Suthudhe,Anirudh Ravichander,Ethir Neechal (Original Motion Picture Soundtrack),57,4.367983333333333
Kangal Edho,Dhibu Ninan Thomas,Chithha (Original Motion Picture Soundtrack),55,4.037483333333333
Agayam Theepiditha,Santhosh Narayanan,Madras (Original Motion Picture Soundtrack),62,3.8343666666666665
Anbarey,Santhosh Narayanan,Gulu Gulu (Original Motion Picture Soundtrack),36,3.74
"What a Karavaad (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),63,4.4657
Vaaya moodi summa iruda,Ida Carnley,Vaaya moodi summa iruda,0,4.55845
"Varaha Nadhikarai (From ""Sangamam"")",A.R. Rahman,Ever Green Love Songs (Original Motion Picture Soundtrack),0,6.3016
Pookkal Pookkum,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),71,6.607766666666667
Vaamma Duraiyamma,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),47,4.856883333333333
"Saachitale (From ""Love Today"")",Yuvan Shankar Raja,"Saachitale (From ""Love Today"")",51,3.977716666666667
Mersalaayitten,A.R. Rahman,I (Original Motion Picture Soundtrack),60,5.066666666666666
Karuppu Perazhaga,Sichith,Kanchana,0,4.990216666666667
Kanave Nee Naan,Sooraj Santhosh,Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),50,2.083266666666667
"Ennai Vittu - From ""Kannum Kannum Kollaiyadithaal""",Ranjith Govind,Kannum Kannum Kollaiyadithaal (Original Motion Picture Soundtrack),37,3.8835
Kaththi Theme - Instrumental,Anirudh Ravichander,Kaththi (Original Motion Picture Soundtrack),57,1.0617666666666667
Marappadhilai Nenje - Additional Song,Leon James,Oh My Kadavule (Original Background Score + Additional Songs),64,3.4838666666666667
Neeyum Naanum,Anirudh Ravichander and Neeti Mohan,Wunderboy Anirudh,0,5.0325
Thani Oruvan - The Power of One,Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),57,3.8249833333333334
Kadhal Cricket - Love (Not Out),Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),60,3.5629166666666667
Veesum Velichathile,Karthik,Naan Ee,49,3.149
"Mayakkama Kalakkama (From ""Thiruchitrambalam"")",Dhanush,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")",64,2.3709666666666664
Kudi Vaazhthu,Mysskin,Kudi Vaazhthu,51,5.1891
Thangamey,Murugavel,Paava Kadhaigal (Original Motion Picture Soundtrack),52,3.0907833333333334
Osaka Osaka,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),59,6.1351
"Bujji (From ""Jagame Thandhiram"")",Santhosh Narayanan,"Bujji (From ""Jagame Thandhiram"")",55,4.453383333333333
Kadhal Valarthen,Yuvan Shankar Raja,Manmadhan,0,7.47735
Thalli Pogathey,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),60,4.439333333333333
"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",Anirudh Ravichander,"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",55,2.9390833333333335
"Rendu Kaadhal (From ""Kaathuvaakula Rendu Kaadhal"")",Anirudh Ravichander,"Rendu Kaadhal (From ""Kaathuvaakula Rendu Kaadhal"")",63,4.3354
On Nenappu,Sean Roldan,Kathanayagan (Original Motion Picture Soundtrack),38,3.2170833333333335
"Ice Katti Kuruvi - From ""D Block""",Ron Ethan Yohann,"Ice Katti Kuruvi (From ""D Block"")",49,4.398833333333333
"Ilamai Thirumbudhe - From ""Petta""",Anirudh Ravichander,Petta (Original Motion Picture Soundtrack),62,3.6166666666666667
Katrukkulle,Yuvan Shankar Raja,Sarvam (Original Motion Picture Soundtrack),0,4.3751
Kan Pesum Varthaigal,Yuvan Shankar Raja,7/G Rainbow Colony (Original Motion Picture Soundtrack),62,5.804833333333334
Naan Naan,Santhosh Narayanan,Mahaan (Original Motion Picture Soundtrack),61,4.141666666666667
Poi Vazhva,Santhosh Narayanan,Manithan (Original Motion Picture Soundtrack),61,3.986283333333333
Loosu Pennae,Silambarasan TR,Vallavan (Original Motion Picture Soundtrack),0,6.790783333333334
Mei Nigara,Sid Sriram,24 (Tamil) (Original Motion Picture Soundtrack),0,5.279333333333334
Aambalaikum Pombalaikum,Yuvan Shankar Raja,Kazhugoo (Original Motion Picture Soundtrack),55,5.01955
Konjam Konjam,Vijay Prakash,Naan Ee,47,4.12385
Royapuram Peter,Anirudh Ravichander,Maan Karate (Original Motion Picture Soundtrack),47,3.6173
Arabu Naadu,Haricharan,Thottal Poo Malarum,57,5.366883333333333
Naana Thaana,Anirudh Ravichander,Thaanaa Serndha Koottam (Original Motion Picture Soundtrack),49,4.3265666666666664
"Ninaivirukka (From ""Pathu Thala"")",A.R. Rahman,"Ninaivirukka (From ""Pathu Thala"")",50,4.2516
Enna Solla Pogirai,Shankar Mahadevan,Kandukondain Kandukondain,61,6.014666666666667
Kannamma,"Pradeep Kumar,Dhee,Ananthu",Kaala (Tamil) (Original Motion Picture Soundtrack),0,4.830883333333333
"Ullaallaa - From ""Petta""",Anirudh Ravichander,Petta (Original Motion Picture Soundtrack),57,4.933333333333334
Kaathellam,Pradeep Kumar,Gypsy,50,3.7295
Udhungada Sangu,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),0,3.494
Melliname,Harish Raghavendra,Shajahaan,67,5.433466666666667
Aga Naga (From “Ponniyin Selvan Part-2”),A.R. Rahman,Aga Naga (From “Ponniyin Selvan Part-2”) [Original Motion Picture Soundtrack],0,4.0573
"Life of Pazham (From ""Thiruchitrambalam"")",Anirudh Ravichander,"Life of Pazham (From ""Thiruchitrambalam"")",55,3.9085666666666667
Vaa Vaathi,G. V. Prakash,Vaathi,67,3.7563333333333335
Marakkuma Nenjam,A.R. Rahman,Vendhu Thanindhathu Kaadu (Original Motion Picture Soundtrack),47,4.305316666666666
Pazhagikalam,Hiphop Tamizha,Aambala (Original Motion Picture Soundtrack),58,3.9442833333333334
"Nethu (From ""Jagame Thandhiram"")",Santhosh Narayanan,"Nethu (From ""Jagame Thandhiram"")",48,3.8618
"Railin Oligal - From ""Blue Star""",Govind Vasantha,"Railin Oligal (From ""Blue Star"")",69,2.6275
Sirikkadhey,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),64,4.098133333333333
Nijamellam Maranthupochu,Anirudh Ravichander,Ethir Neechal (Original Motion Picture Soundtrack),57,3.8017666666666665
Naan Gaali,Sean Roldan,Good Night (Original Motion Picture Soundtrack),56,4.505866666666667
Engeyum Kaadhal,Harris Jayaraj,Engeyum Kadhal (Original Motion Picture Soundtrack),66,5.503333333333333
Kanave Kanave,Anirudh Ravichander,David,70,4.7464
Solli Tholaiyen Ma,Dhanush,Yaakkai (Original Motion Picture Soundtrack),51,3.39415
Ey Inge Paaru,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),0,1.9631333333333334
En Kadhal Solla,Yuvan Shankar Raja,Paiya (Original Motion Picture Soundtrack),68,4.898216666666666
Sakkarai Nilave,Mani Sharma,Youth (Original Motion Picture Soundtrack),56,5.674666666666667
Paisa Note,Hiphop Tamizha,Comali (Original Motion Picture Soundtrack),54,3.0772666666666666
Adhareeni,A.R. Rahman,Sivaji,0,5.7416833333333335
"Thaai Kelavi (From ""Thiruchitrambalam"")",Dhanush,"Thaai Kelavi (From ""Thiruchitrambalam"")",60,4.31515
Namma Thamizh Folku,vaisagh,DADA (Original Motion Picture Soundtrack),0,4.5625
Kadal Raasa Naan,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),56,4.2291
Adiye,A.R. Rahman,Kadal (Original Motion Picture Soundtrack),48,5.032883333333333
Saachitale,Yuvan Shankar Raja,Love Today (Original Motion Picture Soundtrack),43,3.977716666666667
Edakku Modakku,Anirudh Ravichander,Naai Sekar (Original Motion Picture Soundtrack),30,3.1586833333333333
Thillu Mullu,Harris Jayaraj,Gethu (Original Motion Picture Soundtrack),45,6.025566666666666
Pazhangkalla,Harris Jayaraj,Irandaam Ulagam (Original Motion Picture Soundtrack),53,4.38555
Vizhi Moodi,Karthik,Ayan,0,5.537766666666666
Oru Naalaikkul,Yuvan Shankar Raja,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),62,5.667766666666667
"Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")",Anirudh Ravichander,"Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")",66,3.4607833333333335
"Kaathodu Kaathanen (From ""Jail"")",G. V. Prakash,"Kaathodu Kaathanen (From ""Jail"")",50,5.166666666666667
"Sound of Salaar (From ""Salaar Cease Fire"")",Ravi Basrur,Salaar Cease Fire - Tamil (Original Motion Picture Soundtrack),52,2.9195333333333333
Maanja,Anirudh Ravichander,Maan Karate (Original Motion Picture Soundtrack),46,4.7246
Oru Naalil,Yuvan Shankar Raja,Pudhupettai,0,6.4042666666666666
Ey Inge Paaru,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),0,1.9631333333333334
Velai Illa Pattadhaari,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),0,3.9425833333333333
What a Karavaad,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),0,4.4657
Endi Ippadi,Santhosh Narayanan,Enakkul Oruvan (Original Motion Picture Soundtrack),55,3.8135333333333334
"Welcome To Hyderabad (From ""Premalu"")",Vishnu Vijay,"Welcome To Hyderabad (From ""Premalu"")",59,3.7100666666666666
Kutty Kudiye,Vishnu Vijay,Premalu - Tamil (Original Motion Picture Soundtrack),36,3.1224333333333334
Welcome To Hyderabad,Vishnu Vijay,Premalu - Tamil (Original Motion Picture Soundtrack),36,3.7064666666666666
Aanaalum Indha Mayakkam,D. Imman,10 Endrathukulla (Original Motion Picture Soundtrack),53,5.0
